"","state","origin","etnia","2015","2016","2017","2018","2019"
"332","Louisiana",1,2,2993986,3005400,3007506,3004790,3001982
"333","Louisiana",1,3,59344,59704,60092,60236,60502
"334","Louisiana",1,4,157518,160880,161574,162558,163320
"335","Louisiana",1,5,3656,3686,3640,3586,3680
"336","Louisiana",1,6,131218,135082,138638,141442,143596
"337","Louisiana",2,1,380318,389848,393974,399884,407122
"338","Louisiana",2,2,42072,43860,45486,46924,47484
"339","Louisiana",2,3,12126,12214,12504,12572,12690
"340","Louisiana",2,4,4814,4922,5026,5058,5064
"341","Louisiana",2,5,2182,2120,2098,2112,2028
"342","Louisiana",2,6,17574,18284,18730,19046,19556
"343","Maine",0,1,2522230,2523688,2527014,2532190,2538652
"344","Maine",0,2,39436,41274,42518,43892,45382
"345","Maine",0,3,18428,18710,18988,19270,19534
"346","Maine",0,4,31322,32694,33304,34032,34840
"347","Maine",0,5,902,938,942,918,910
"348","Maine",0,6,44206,45330,46458,47812,49106
"349","Maine",1,1,2487826,2488162,2490128,2494112,2499194
"350","Maine",1,2,37464,39268,40398,41702,43108
"351","Maine",1,3,17130,17308,17492,17722,17980
"352","Maine",1,4,30728,32088,32632,33398,34166
"353","Maine",1,5,748,762,786,764,750
"354","Maine",1,6,41420,42486,43588,44754,45826
"355","Maine",2,1,34404,35526,36886,38078,39458
"356","Maine",2,2,1972,2006,2120,2190,2274
"357","Maine",2,3,1298,1402,1496,1548,1554
"358","Maine",2,4,594,606,672,634,674
"359","Maine",2,5,154,176,156,154,160
"360","Maine",2,6,2786,2844,2870,3058,3280
"361","Maryland",0,1,7147736,7131336,7116206,7099698,7078888
"362","Maryland",0,2,3656086,3683352,3712422,3734728,3757290
"363","Maryland",0,3,68064,69506,71124,72524,73680
"364","Maryland",0,4,761812,776806,793392,803062,812606
"365","Maryland",0,5,12580,12900,13044,13358,13410
"366","Maryland",0,6,324846,332746,341548,348234,355486
"367","Maryland",1,1,6239720,6192868,6147430,6100064,6051562
"368","Maryland",1,2,3536334,3559942,3584396,3601964,3620534
"369","Maryland",1,3,28996,29244,29392,29496,29524
"370","Maryland",1,4,748150,762652,778626,787808,797038
"371","Maryland",1,5,5868,5938,5958,6080,6050
"372","Maryland",1,6,275298,281706,288580,293436,299008
"373","Maryland",2,1,908016,938468,968776,999634,1027326
"374","Maryland",2,2,119752,123410,128026,132764,136756
"375","Maryland",2,3,39068,40262,41732,43028,44156
"376","Maryland",2,4,13662,14154,14766,15254,15568
"377","Maryland",2,5,6712,6962,7086,7278,7360
"378","Maryland",2,6,49548,51040,52968,54798,56478
"379","Massachusetts",0,1,11164512,11152446,11149242,11139762,11108330
"380","Massachusetts",0,2,1153648,1179402,1206142,1226612,1243804
"381","Massachusetts",0,3,64486,65132,66058,67482,68620
"382","Massachusetts",0,4,881758,914164,949034,971270,995034
"383","Massachusetts",0,5,13686,13936,14138,14486,14820
"384","Massachusetts",0,6,310366,322136,334964,345658,354398
"385","Massachusetts",1,1,9991146,9943848,9901064,9850192,9795600
"386","Massachusetts",1,2,942648,962830,983566,998310,1011514
"387","Massachusetts",1,3,24310,24358,24576,24782,24816
"388","Massachusetts",1,4,869010,900806,935182,956886,980046
"389","Massachusetts",1,5,5484,5542,5666,5804,5978
"390","Massachusetts",1,6,232640,239676,246672,252734,257238
"391","Massachusetts",2,1,1173366,1208598,1248178,1289570,1312730
"392","Massachusetts",2,2,211000,216572,222576,228302,232290
"393","Massachusetts",2,3,40176,40774,41482,42700,43804
"394","Massachusetts",2,4,12748,13358,13852,14384,14988
"395","Massachusetts",2,5,8202,8394,8472,8682,8842
"396","Massachusetts",2,6,77726,82460,88292,92924,97160
"397","Michigan",0,1,15835884,15835868,15844944,15841394,15823134
"398","Michigan",0,2,2817390,2817198,2817828,2816524,2815780
"399","Michigan",0,3,142884,144200,145540,146374,147730
"400","Michigan",0,4,600546,625770,648088,662042,672768
"401","Michigan",0,5,7632,7892,8096,8178,8372
"402","Michigan",0,6,459094,470214,481732,493632,505930
"403","Michigan",1,1,15014402,14994300,14986092,14963730,14929324
"404","Michigan",1,2,2756182,2754910,2754228,2751728,2749772
"405","Michigan",1,3,112124,112692,113252,113688,114528
"406","Michigan",1,4,593130,618116,640300,654078,664640
"407","Michigan",1,5,5070,5254,5420,5472,5628
"408","Michigan",1,6,412178,422014,432026,442494,453412
"409","Michigan",2,1,821482,841568,858852,877664,893810
"410","Michigan",2,2,61208,62288,63600,64796,66008
"411","Michigan",2,3,30760,31508,32288,32686,33202
"412","Michigan",2,4,7416,7654,7788,7964,8128
"413","Michigan",2,5,2562,2638,2676,2706,2744
"414","Michigan",2,6,46916,48200,49706,51138,52518
"415","Minnesota",0,1,9349918,9371070,9400528,9427990,9447862
"416","Minnesota",0,2,673782,706248,737192,765224,791112
"417","Minnesota",0,3,147952,149818,152178,153966,154958
"418","Minnesota",0,4,525022,543104,558658,573018,585014
"419","Minnesota",0,5,7136,7448,7898,8178,8428
"420","Minnesota",0,6,260254,267800,276006,284122,291890
"421","Minnesota",1,1,8872938,8882076,8898308,8912344,8920298
"422","Minnesota",1,2,650730,682506,712532,739858,765242
"423","Minnesota",1,3,117128,117916,118814,119870,120502
"424","Minnesota",1,4,518154,535966,551194,565206,577166
"425","Minnesota",1,5,4852,5102,5452,5700,5882
"426","Minnesota",1,6,232094,238864,245926,253008,259914
"427","Minnesota",2,1,476980,488994,502220,515646,527564
"428","Minnesota",2,2,23052,23742,24660,25366,25870
"429","Minnesota",2,3,30824,31902,33364,34096,34456
"430","Minnesota",2,4,6868,7138,7464,7812,7848
"431","Minnesota",2,5,2284,2346,2446,2478,2546
"432","Minnesota",2,6,28160,28936,30080,31114,31976
"433","Mississippi",0,1,3555300,3546708,3540680,3524890,3516162
"434","Mississippi",0,2,2248088,2252848,2256086,2253698,2249118
"435","Mississippi",0,3,35736,36178,36726,36980,37410
"436","Mississippi",0,4,62130,62298,63212,64698,66064
"437","Mississippi",0,5,3406,3462,3540,3586,3612
"438","Mississippi",0,6,72282,74382,76776,78188,79932
"439","Mississippi",1,1,3410000,3398824,3387924,3368512,3356464
"440","Mississippi",1,2,2228582,2232432,2234794,2231816,2227286
"441","Mississippi",1,3,29228,29312,29542,29736,30134
"442","Mississippi",1,4,60616,60686,61568,63098,64502
"443","Mississippi",1,5,2002,2030,2102,2080,2084
"444","Mississippi",1,6,64828,66770,68942,70240,71608
"445","Mississippi",2,1,145300,147884,152756,156378,159698
"446","Mississippi",2,2,19506,20416,21292,21882,21832
"447","Mississippi",2,3,6508,6866,7184,7244,7276
"448","Mississippi",2,4,1514,1612,1644,1600,1562
"449","Mississippi",2,5,1404,1432,1438,1506,1528
"450","Mississippi",2,6,7454,7612,7834,7948,8324
"451","Missouri",0,1,10124580,10135582,10150830,10161380,10172376
"452","Missouri",0,2,1434666,1440038,1444170,1447618,1451158
"453","Missouri",0,3,66640,67952,69466,70332,71678
"454","Missouri",0,4,237636,242580,251956,258612,266624
"455","Missouri",0,5,16846,17364,18062,18858,19714
"456","Missouri",0,6,263096,270754,278856,286446,293306
"457","Missouri",1,1,9710732,9711252,9714948,9714426,9715024
"458","Missouri",1,2,1409716,1414400,1417990,1420466,1423404
"459","Missouri",1,3,51476,52060,52838,53422,54196
"460","Missouri",1,4,232828,237702,246878,253510,261434
"461","Missouri",1,5,14090,14480,15088,15758,16492
"462","Missouri",1,6,240070,246810,254166,260898,266890
"463","Missouri",2,1,413848,424330,435882,446954,457352
"464","Missouri",2,2,24950,25638,26180,27152,27754
"465","Missouri",2,3,15164,15892,16628,16910,17482
"466","Missouri",2,4,4808,4878,5078,5102,5190
"467","Missouri",2,5,2756,2884,2974,3100,3222
"468","Missouri",2,6,23026,23944,24690,25548,26416
"469","Montana",0,1,1839666,1855628,1873704,1887498,1900422
"470","Montana",0,2,11382,11870,12392,12520,12778
"471","Montana",0,3,137400,139190,141126,141752,142192
"472","Montana",0,4,17162,17960,18526,19084,19666
"473","Montana",0,5,1718,1784,1810,1798,1840
"474","Montana",0,6,53622,55286,57406,58678,60658
"475","Montana",1,1,1783716,1797412,1812444,1824108,1835422
"476","Montana",1,2,10286,10726,11176,11266,11532
"477","Montana",1,3,126550,127784,128952,129540,129906
"478","Montana",1,4,16406,17234,17762,18272,18824
"479","Montana",1,5,1418,1462,1500,1488,1534
"480","Montana",1,6,48024,49480,51100,52092,53760
"481","Montana",2,1,55950,58216,61260,63390,65000
"482","Montana",2,2,1096,1144,1216,1254,1246
"483","Montana",2,3,10850,11406,12174,12212,12286
"484","Montana",2,4,756,726,764,812,842
"485","Montana",2,5,300,322,310,310,306
"486","Montana",2,6,5598,5806,6306,6586,6898
"487","Nebraska",0,1,3368820,3381992,3391750,3400306,3408258
"488","Nebraska",0,2,187978,192446,195206,198528,201526
"489","Nebraska",0,3,54476,56096,57348,57866,58570
"490","Nebraska",0,4,88748,95250,99368,103162,106374
"491","Nebraska",0,5,4384,4492,4500,4600,4698
"492","Nebraska",0,6,78148,80956,83722,86766,89390
"493","Nebraska",1,1,3027212,3029614,3028432,3027504,3026344
"494","Nebraska",1,2,177576,181608,183920,186898,189660
"495","Nebraska",1,3,31412,31858,32048,32376,32666
"496","Nebraska",1,4,85698,92126,96214,99882,102992
