"","state","year","total of guns","poblation","ratio"
"85","Indiana","2015",1076917,6611442,0.162886855847786
"86","Indiana","2016",1436725,6637898,0.216442765465815
"87","Indiana","2017",830357,6662068,0.124639526345273
"88","Indiana","2018",896148,6698481,0.133783763811527
"89","Indiana","2019",1450565,6731010,0.215504805370962
"90","Indiana","2020",1935587,6754953,0.286543370472008
"91","Iowa","2015",147309,3122541,0.0471760018523376
"92","Iowa","2016",202277,3133210,0.0645590305150309
"93","Iowa","2017",160981,3143734,0.0512069405363176
"94","Iowa","2018",189159,3149900,0.0600523826153211
"95","Iowa","2019",182802,3159596,0.0578561309737068
"96","Iowa","2020",270614,3163561,0.0855409457886224
"97","Kansas","2015",185859,2910717,0.063853339228788
"98","Kansas","2016",196548,2912977,0.0674732412923274
"99","Kansas","2017",191451,2910892,0.0657705610513891
"100","Kansas","2018",172047,2912748,0.059066901771111
"101","Kansas","2019",167010,2912635,0.057339831458456
"102","Kansas","2020",249589,2913805,0.0856574135880747
"103","Kentucky","2015",3218371,4429126,0.726637941661628
"104","Kentucky","2016",3676847,4440306,0.828061624581729
"105","Kentucky","2017",4641480,4455590,1.0417206251024
"106","Kentucky","2018",4912441,4464273,1.10038991791049
"107","Kentucky","2019",4120892,4472345,0.921416393413299
"108","Kentucky","2020",3330462,4477251,0.743863142807942
"109","Louisiana","2015",372613,4666998,0.0798399742189733
"110","Louisiana","2016",391869,4681346,0.0837086171370371
"111","Louisiana","2017",329201,4673673,0.070437319855283
"112","Louisiana","2018",307192,4664450,0.0658581397592428
"113","Louisiana","2019",282264,4658285,0.0605939739625205
"114","Louisiana","2020",430537,4645318,0.0926819218834965
"115","Maine","2015",94744,1329098,0.0712844350078023
"116","Maine","2016",111582,1332348,0.0837483900602545
"117","Maine","2017",96590,1335743,0.0723118144732931
"118","Maine","2018",93360,1340123,0.0696652471452247
"119","Maine","2019",90626,1345770,0.0673413733401696
"120","Maine","2020",137149,1350141,0.101581242255439
"121","Maryland","2015",125694,5988528,0.0209891312188905
"122","Maryland","2016",165367,6007014,0.027528985282871
"123","Maryland","2017",158659,6028186,0.02631952630526
"124","Maryland","2018",151470,6042153,0.0250688785934418
"125","Maryland","2019",148813,6054954,0.0245770653253518
"126","Maryland","2020",302563,6055802,0.0499624987739031
"127","Massachusetts","2015",167285,6797484,0.0246098409352637
"128","Massachusetts","2016",226212,6827280,0.0331335465954231
"129","Massachusetts","2017",206492,6863560,0.0300852618757613
"130","Massachusetts","2018",211295,6885720,0.0306859703850868
"131","Massachusetts","2019",212316,6894883,0.0307932708937918
"132","Massachusetts","2020",262583,6893574,0.0380909815431009
"133","Michigan","2015",500921,9934483,0.0504224527839043
"134","Michigan","2016",579605,9954117,0.0582276659999074
"135","Michigan","2017",513243,9976752,0.0514438967712137
"136","Michigan","2018",489957,9987286,0.0490580724332917
"137","Michigan","2019",492171,9984795,0.0492920485598352
"138","Michigan","2020",1068511,9966555,0.107209662716957
"139","Minnesota","2015",519244,5484002,0.0946834082117403
"140","Minnesota","2016",651599,5525360,0.117928786540605
"141","Minnesota","2017",683544,5569283,0.122734650043821
"142","Minnesota","2018",604078,5608762,0.107702555394577
"143","Minnesota","2019",682356,5640053,0.120983969476883
"144","Minnesota","2020",958391,5657342,0.169406587050951
"145","Mississippi","2015",252372,2990231,0.0843988307257867
"146","Mississippi","2016",276161,2990595,0.0923431624810447
"147","Mississippi","2017",251852,2990674,0.0842124551188127
"148","Mississippi","2018",247278,2982879,0.0828991051933384
"149","Mississippi","2019",238388,2978227,0.0800435964081986
"150","Mississippi","2020",366829,2966786,0.123645251123606
"151","Missouri","2015",584875,6075411,0.0962692071367682
"152","Missouri","2016",632319,6091384,0.103805473435922
"153","Missouri","2017",524973,6111382,0.0859008649762034
"154","Missouri","2018",496184,6125986,0.0809965938544424
