"","state","year","poblation"
"130","Missouri","2017",6111382
"131","Montana","2017",1053862
"132","Nebraska","2017",1916998
"133","Nevada","2017",2972097
"134","New Hampshire","2017",1350395
"135","New Jersey","2017",8888147
"136","New Mexico","2017",2092844
"137","New York","2017",19593849
"138","North Carolina","2017",10275758
"139","North Dakota","2017",756755
"140","Ohio","2017",11665706
"141","Oklahoma","2017",3933602
"142","Oregon","2017",4147294
"143","Pennsylvania","2017",12794679
"144","Rhode Island","2017",1056554
"145","South Carolina","2017",5027102
"146","South Dakota","2017",873732
"147","Tennessee","2017",6714748
"148","Texas","2017",28291024
"149","Utah","2017",3103540
"150","Vermont","2017",625132
"151","Virginia","2017",8471011
"152","Washington","2017",7427951
"153","West Virginia","2017",1818683
"154","Wisconsin","2017",5793147
"155","Wyoming","2017",579994
"156","Puerto Rico","2017",3325284
"157","Alabama","2018",4891628
"158","Alaska","2018",736624
"159","Arizona","2018",7164228
"160","Arkansas","2018",3012161
"161","California","2018",39437463
"162","Colorado","2018",5697155
"163","Connecticut","2018",3574561
"164","Delaware","2018",966985
"165","District of Columbia","2018",704147
"166","Florida","2018",21254926
"167","Georgia","2018",10519389
"168","Hawaii","2018",1423102
"169","Idaho","2018",1752074
"170","Illinois","2018",12724685
"171","Indiana","2018",6698481
"172","Iowa","2018",3149900
"173","Kansas","2018",2912748
"174","Kentucky","2018",4464273
"175","Louisiana","2018",4664450
"176","Maine","2018",1340123
"177","Maryland","2018",6042153
"178","Massachusetts","2018",6885720
"179","Michigan","2018",9987286
"180","Minnesota","2018",5608762
"181","Mississippi","2018",2982879
"182","Missouri","2018",6125986
"183","Montana","2018",1061818
"184","Nebraska","2018",1925512
"185","Nevada","2018",3030725
"186","New Hampshire","2018",1355064
"187","New Jersey","2018",8891730
"188","New Mexico","2018",2093754
"189","New York","2018",19544098
"190","North Carolina","2018",10391358
"191","North Dakota","2018",760062
"192","Ohio","2018",11680892
"193","Oklahoma","2018",3943488
"194","Oregon","2018",4183538
"195","Pennsylvania","2018",12809107
"196","Rhode Island","2018",1059338
"197","South Carolina","2018",5091702
"198","South Dakota","2018",879386
"199","Tennessee","2018",6778180
"200","Texas","2018",28624564
"201","Utah","2018",3155153
"202","Vermont","2018",624802
"203","Virginia","2018",8510920
"204","Washington","2018",7526793
"205","West Virginia","2018",1805953
"206","Wisconsin","2018",5809319
"207","Wyoming","2018",579054
"208","Puerto Rico","2018",3193344
"209","Alabama","2019",4907965
"210","Alaska","2019",733603
"211","Arizona","2019",7291843
"212","Arkansas","2019",3020985
"213","California","2019",39437610
"214","Colorado","2019",5758486
"215","Connecticut","2019",3566022
"216","Delaware","2019",976668
"217","District of Columbia","2019",708253
"218","Florida","2019",21492056
"219","Georgia","2019",10628020
"220","Hawaii","2019",1415615
"221","Idaho","2019",1789060
"222","Illinois","2019",12667017
"223","Indiana","2019",6731010
"224","Iowa","2019",3159596
"225","Kansas","2019",2912635
"226","Kentucky","2019",4472345
"227","Louisiana","2019",4658285
"228","Maine","2019",1345770
"229","Maryland","2019",6054954
"230","Massachusetts","2019",6894883
"231","Michigan","2019",9984795
"232","Minnesota","2019",5640053
"233","Mississippi","2019",2978227
"234","Missouri","2019",6140475
"235","Montana","2019",1070123
"236","Nebraska","2019",1932571
"237","Nevada","2019",3090771
"238","New Hampshire","2019",1360783
"239","New Jersey","2019",8891258
"240","New Mexico","2019",2099634
"241","New York","2019",19463131
"242","North Carolina","2019",10501384
"243","North Dakota","2019",763724
"244","Ohio","2019",11696507
"245","Oklahoma","2019",3960676
"246","Oregon","2019",4216116
"247","Pennsylvania","2019",12798883
"248","Rhode Island","2019",1058158
"249","South Carolina","2019",5157702
"250","South Dakota","2019",887127
"251","Tennessee","2019",6830325
"252","Texas","2019",28986794
"253","Utah","2019",3203383
"254","Vermont","2019",624046
"255","Virginia","2019",8556642
"256","Washington","2019",7614024
"257","West Virginia","2019",1795263
"258","Wisconsin","2019",5824581
"259","Wyoming","2019",580116
"260","Puerto Rico","2019",3193553
"261","Alabama","2020",4921532
"262","Alaska","2020",731158
"263","Arizona","2020",7421401
"264","Arkansas","2020",3030522
"265","California","2020",39368078
"266","Colorado","2020",5807719
"267","Connecticut","2020",3557006
"268","Delaware","2020",986809
"269","District of Columbia","2020",712816
"270","Florida","2020",21733312
"271","Georgia","2020",10710017
"272","Hawaii","2020",1407006
"273","Idaho","2020",1826913
"274","Illinois","2020",12587530
"275","Indiana","2020",6754953
"276","Iowa","2020",3163561
"277","Kansas","2020",2913805
"278","Kentucky","2020",4477251
"279","Louisiana","2020",4645318
"280","Maine","2020",1350141
"281","Maryland","2020",6055802
"282","Massachusetts","2020",6893574
"283","Michigan","2020",9966555
"284","Minnesota","2020",5657342
"285","Mississippi","2020",2966786
"286","Missouri","2020",6151548
"287","Montana","2020",1080577
"288","Nebraska","2020",1937552
"289","Nevada","2020",3138259
"290","New Hampshire","2020",1366275
"291","New Jersey","2020",8882371
"292","New Mexico","2020",2106319
"293","New York","2020",19336776
"294","North Carolina","2020",10600823
"295","North Dakota","2020",765309
"296","Ohio","2020",11693217
"297","Oklahoma","2020",3980783
"298","Oregon","2020",4241507
"299","Pennsylvania","2020",12783254
"300","Rhode Island","2020",1057125
"301","South Carolina","2020",5218040
"302","South Dakota","2020",892717
"303","Tennessee","2020",6886834
"304","Texas","2020",29360759
"305","Utah","2020",3249879
"306","Vermont","2020",623347
"307","Virginia","2020",8590563
"308","Washington","2020",7693612
"309","West Virginia","2020",1784787
"310","Wisconsin","2020",5832655
"311","Wyoming","2020",582328
"312","Puerto Rico","2020",3159343
